h,u_L2,u_H1,v_L2,p_uL2,p_uH1,p_vL2,mesh
0.100000,8.6862264217e-03,1.8772540676e-01,3.1478847747e-02,nan,nan,nan,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx10.msh"
0.050000,2.1867434670e-03,9.4162785345e-02,8.0527886461e-03,1.9899455759e+00,9.9539501656e-01,1.9668223594e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx20.msh"
0.033333,9.3630586623e-04,6.2811588875e-02,3.7058584612e-03,2.0919839822e+00,9.9857038921e-01,1.9141067782e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx30.msh"
0.025000,4.9599518116e-04,4.7118743135e-02,2.1820075906e-03,2.2086047510e+00,9.9925839990e-01,1.8411629362e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx40.msh"
0.020000,2.9224278985e-04,3.7699139458e-02,1.4763631312e-03,2.3705873608e+00,9.9950724912e-01,1.7507279241e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx50.msh"
0.016667,1.8221442886e-04,3.1418200361e-02,1.0929997576e-03,2.5910307209e+00,9.9960705160e-01,1.6490410550e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx60.msh"
0.014286,1.1696878011e-04,2.6931384255e-02,8.6184848649e-04,2.8756091903e+00,9.9963910001e-01,1.5413605776e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx70.msh"
0.012500,7.6382622672e-05,2.3566114377e-02,7.1183990203e-04,3.1913981857e+00,9.9963354015e-01,1.4320711579e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx80.msh"
0.011111,5.1476537803e-05,2.0948635012e-02,6.0901385415e-04,3.3504747858e+00,9.9960370694e-01,1.3245711667e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx90.msh"
0.010000,3.8321489188e-05,1.8854653101e-02,5.3548064766e-04,2.8010048272e+00,9.9955620674e-01,1.2212949533e+00,"/tmp/nmpde_wave_space_conv_c5e70f38-ce46-4b2d-8439-7428c0313443/Nx100.msh"
