h,u_L2,u_H1,v_L2,p_uL2,p_uH1,p_vL2
0.100000,8.7766e-03,1.8775e-01,3.1491e-02,     nan,     nan,     nan
0.050000,2.2648e-03,9.4172e-02,7.8890e-03,1.954261,0.995478,1.997015
0.033333,1.0117e-03,6.2817e-02,3.5106e-03,1.987531,0.998615,1.996903
0.025000,5.7004e-04,4.7122e-02,1.9753e-03,1.994094,0.999314,1.999031
0.020000,3.6511e-04,3.7701e-02,1.2643e-03,1.996581,0.999591,1.999597
0.016667,2.5365e-04,3.1419e-02,8.7801e-04,1.997774,0.999728,1.999822
0.014286,1.8640e-04,2.6931e-02,6.4508e-04,1.998449,0.999806,1.999899
0.012500,1.4273e-04,2.3565e-02,4.9389e-04,1.998866,0.999855,2.000009
0.011111,1.1279e-04,2.0947e-02,3.9023e-04,1.999147,0.999887,2.000094
0.010000,9.1365e-05,1.8853e-02,3.1608e-04,1.999345,0.999910,2.000186
