time_step,time,energy,power,dE_dt,residual,work,energy_balance,eL2_u,eH1_u,eL2_v
0,0,30.842,0,0,0,0,30.842,0,0,0.00112766
1,0.001,30.8384,-7.30442,-3.65244,3.65199,-0.00365221,-2.25316e-07,1.14906e-06,0.000339439,0.00112955
2,0.002,30.8274,-14.6016,-10.9537,3.64793,-0.0146052,-9.01029e-07,2.30187e-06,0.000677256,0.00113578
3,0.003,30.8092,-21.8844,-18.2442,3.64028,-0.0328483,-2.02646e-06,3.46271e-06,0.00101203,0.00114788
4,0.004,30.7836,-29.1456,-25.5166,3.62903,-0.0583633,-3.6005e-06,4.63676e-06,0.00134271,0.00116776
5,0.005,30.7509,-36.3781,-32.7639,3.6142,-0.0911252,-5.62158e-06,5.83015e-06,0.00166873,0.00119696
6,0.006,30.7109,-43.5746,-39.9788,3.59581,-0.131102,-8.08772e-06,7.04969e-06,0.00199007,0.00123589
7,0.007,30.6638,-50.7282,-47.1543,3.57386,-0.178253,-1.09965e-05,8.30229e-06,0.0023072,0.00128344
8,0.008,30.6095,-57.8316,-54.2833,3.54839,-0.232533,-1.4345e-05,9.59406e-06,0.00262101,0.00133699
9,0.009,30.5481,-64.8781,-61.3586,3.51942,-0.293888,-1.813e-05,1.09294e-05,0.00293265,0.00139276
10,0.01,30.4797,-71.8604,-68.3735,3.48697,-0.362257,-2.23476e-05,1.23101e-05,0.00324332,0.00144642
11,0.011,30.4044,-78.7719,-75.3208,3.45109,-0.437573,-2.69939e-05,1.37349e-05,0.00355413,0.00149365
12,0.012,30.3222,-85.6056,-82.1938,3.41179,-0.519762,-3.2064e-05,1.51991e-05,0.00386591,0.00153064
13,0.013,30.2332,-92.3549,-88.9857,3.36913,-0.608742,-3.75531e-05,1.66946e-05,0.00417911,0.00155443
14,0.014,30.1375,-99.013,-95.6898,3.32315,-0.704426,-4.34557e-05,1.82109e-05,0.00449375,0.00156316
15,0.015,30.0352,-105.573,-102.299,3.27389,-0.806719,-4.9766e-05,1.97352e-05,0.00480948,0.00155616
16,0.016,29.9264,-112.03,-108.808,3.22139,-0.915521,-5.64779e-05,2.12537e-05,0.00512566,0.00153393
17,0.017,29.8112,-118.375,-115.21,3.16572,-1.03072,-6.35846e-05,2.27528e-05,0.00544148,0.00149812
18,0.018,29.6897,-124.604,-121.497,3.10692,-1.15221,-7.10793e-05,2.42194e-05,0.00575609,0.00145128
19,0.019,29.5621,-130.71,-127.665,3.04506,-1.27987,-7.89544e-05,2.56427e-05,0.00606875,0.0013967
20,0.02,29.4284,-136.687,-133.707,2.98019,-1.41357,-8.72023e-05,2.7014e-05,0.0063789,0.00133809
21,0.021,29.2887,-142.529,-139.616,2.91238,-1.55318,-9.58147e-05,2.83274e-05,0.00668623,0.00127918
22,0.022,29.1434,-148.23,-145.388,2.84169,-1.69856,-0.000104783,2.95806e-05,0.00699065,0.00122334
23,0.023,28.9923,-153.785,-151.017,2.7682,-1.84956,-0.000114099,3.07739e-05,0.00729234,0.00117316
24,0.024,28.8358,-159.188,-156.496,2.69198,-2.00605,-0.000123752,3.19108e-05,0.00759158,0.00113019
25,0.025,28.674,-164.435,-161.821,2.61311,-2.16786,-0.000133735,3.29971e-05,0.00788875,0.00109486
26,0.026,28.507,-169.518,-166.987,2.53165,-2.33484,-0.000144035,3.40407e-05,0.00818423,0.00106676
27,0.027,28.335,-174.435,-171.987,2.4477,-2.50681,-0.000154645,3.50507e-05,0.00847827,0.00104501
28,0.028,28.1582,-179.18,-176.818,2.36133,-2.68362,-0.000165552,3.60371e-05,0.00877099,0.00102881
29,0.029,27.9768,-183.747,-181.475,2.27263,-2.86508,-0.000176747,3.70101e-05,0.00906235,0.00101786
30,0.03,27.7908,-188.133,-185.952,2.18168,-3.05103,-0.000188217,3.79793e-05,0.00935215,0.00101244
31,0.031,27.6006,-192.334,-190.246,2.08859,-3.24126,-0.000199953,3.8954e-05,0.0096401,0.0010134
32,0.032,27.4062,-196.345,-194.352,1.99343,-3.4356,-0.000211942,3.9942e-05,0.00992583,0.0010217
33,0.033,27.2079,-200.162,-198.266,1.89631,-3.63385,-0.000224172,4.09501e-05,0.010209,0.00103799
34,0.034,27.006,-203.782,-201.984,1.79731,-3.83582,-0.000236632,4.19836e-05,0.0104893,0.00106205
35,0.035,26.8005,-207.2,-205.503,1.69654,-4.04131,-0.000249309,4.3046e-05,0.0107666,0.00109261
36,0.036,26.5916,-210.414,-208.82,1.5941,-4.25012,-0.00026219,4.41392e-05,0.0110407,0.00112731
37,0.037,26.3797,-213.42,-211.93,1.49008,-4.46204,-0.000275264,4.52632e-05,0.0113118,0.00116308
38,0.038,26.1649,-216.216,-214.831,1.38459,-4.67686,-0.000288516,4.64159e-05,0.0115799,0.00119654
39,0.039,25.9473,-218.798,-217.521,1.27774,-4.89436,-0.000301934,4.75937e-05,0.0118451,0.00122449
40,0.04,25.7274,-221.165,-219.995,1.16963,-5.11435,-0.000315504,4.87908e-05,0.0121076,0.00124428
